"YOE","O1","O1E","O2","O2E","O3","O3E","O4","O5","O6","O7","O8","O9","O10"
"2 or less",3287,NA,3788,NA,4383,NA,4985,5778,6931,9140,11000,NA,NA
"Over 2",3422,NA,4313,NA,4969,NA,5771,6509,7615,9565,11360,NA,NA
"Over 3",4136,NA,4968,NA,5363,NA,6156,6959,8114,9761,11600,NA,NA
"Over 4",4136,4136,5136,5136,5847,5847,6242,7044,8114,9917,11666,NA,NA
"Over 6",4136,4417,5241,5241,6128,6128,6599,7326,8145,10200,11965,NA,NA
"Over 8",4136,4580,5241,5408,6435,6435,6983,7494,8495,10480,12463,NA,NA
"Over 10",4136,4747,5241,5690,6634,6634,7460,7864,8541,10803,12579,NA,NA
"Over 12",4136,4911,5241,5908,6961,6961,7832,8135,8541,11125,13052,NA,NA
"Over 14",4136,5136,5241,6070,7131,7236,8090,8486,9026,11448,13188,NA,NA
"Over 16",4136,5136,5241,6070,7131,7395,8238,9023,9884,12463,13596,NA,NA
"Over 18",4136,5136,5241,6070,7131,7611,8324,9278,10388,13320,14186,NA,NA
"Over 20",4136,5136,5241,6070,7131,7611,8324,9530,10891,13320,14730,15546,16442
"Over 22",4136,5136,5241,6070,7131,7611,8324,9817,11177,13320,15093,15771,16442
"Over 24",4136,5136,5241,6070,7131,7611,8324,9817,11468,13320,15093,16094,16442
"Over 26",4136,5136,5241,6070,7131,7611,8324,9817,12030,13388,15093,16442,16442
"Over 28",4136,5136,5241,6070,7131,7611,8324,9817,12030,13388,15093,16442,16442
"Over 30",4136,5136,5241,6070,7131,7611,8324,9817,12270,13656,15471,16442,16442
"Over 32",4136,5136,5241,6070,7131,7611,8324,9817,12270,13656,15471,16442,16442
"Over 34",4136,5136,5241,6070,7131,7611,8324,9817,12270,13656,15857,16442,16442
"Over 36",4136,5136,5241,6070,7131,7611,8324,9817,12270,13656,15857,16442,16442
"Over 38",4136,5136,5241,6070,7131,7611,8324,9817,12270,13656,15857,16442,16442
"Over 40",4136,5136,5241,6070,7131,7611,8324,9817,12270,13656,15857,16442,16442
