YOE,O1,O1E,O2,O2E,O3,O3E,O4,O5,O6,O7,O8,O9,O10
2 or less,3826,NA,4409,NA,5102,NA,5803,6726,8068,10639,12804,NA,NA
Over 2,3983,NA,5021,NA,5784,NA,6717,7577,8863,11133,13224,NA,NA
Over 3,4815,NA,5783,NA,6242,NA,7166,8101,9445,11362,13502,NA,NA
Over 4,4815,NA,5978,NA,6806,NA,7265,8200,9445,11544,13579,NA,NA
Over 6,4815,NA,6101,NA,7133,NA,7682,8527,9481,11873,13927,NA,NA
Over 8,4815,NA,6101,NA,7491,NA,8128,8723,9887,12198,14507,NA,NA
Over 10,4815,NA,6101,NA,7722,NA,8684,9153,9941,12574,14642,NA,NA
Over 12,4815,NA,6101,NA,8102,NA,9116,9470,9941,12949,15193,NA,NA
Over 14,4815,NA,6101,NA,8301,NA,9417,9878,10506,13325,15351,NA,NA
Over 16,4815,NA,6101,NA,8301,NA,9590,10502,11505,14507,15826,NA,NA
Over 18,4815,NA,6101,NA,8301,NA,9689,10799,12091,15504,16513,NA,NA
Over 20,4815,NA,6101,NA,8301,NA,9689,11093,12677,15504,17146,18096,18492
Over 22,4815,NA,6101,NA,8301,NA,9689,11940,13011,15504,17569,18357,18492
Over 24,4815,NA,6101,NA,8301,NA,9689,11940,13349,15504,17569,18492,18492
Over 26,4815,NA,6101,NA,8301,NA,9689,11940,14003,15584,17569,18492,18492
Over 28,4815,NA,6101,NA,8301,NA,9689,11940,14003,15584,17569,18492,18492
Over 30,4815,NA,6101,NA,8301,NA,9689,11940,14282,15896,18008,18492,18492
Over 32,4815,NA,6101,NA,8301,NA,9689,11940,14282,15896,18008,18492,18492
Over 34,4815,NA,6101,NA,8301,NA,9689,11940,14282,15896,18458,18492,18492
Over 36,4815,NA,6101,NA,8301,NA,9689,11940,14282,15896,18458,18492,18492
Over 38,4815,NA,6101,NA,8301,NA,9689,11940,14282,15896,18458,18492,18492
Over 40,4815,NA,6101,NA,8301,NA,9689,11940,14282,15896,18458,18492,18492
