Date,Description,Original Description,Category,Amount,Status,Transaction Type,Transaction Category
11/29/24,Target,TARGET DEBIT CRD ACH TRAN   ***********0217,Shopping,-40.02,Posted,misc_expenses,clothing
11/29/24,Target,TARGET DEBIT CRD ACH TRAN   ***********0217,Shopping,-120.06,Posted,misc_expenses,clothing
11/26/24,Defense Finance and Accounting Service,DFAS-CLEVELAND   NAVY ACT   ***********1645,Paycheck,5423.16,Posted,income,jeff_pay
11/26/24,Midland National Life Insurance,MIDLAND NATIONAL INSURANCE  ***********1874,Life Insurance,-195.8,Posted,fixed_expenses,insurance
11/26/24,Zelle Transfer to Amber Carroll,Zelle: Amber Carroll,Transfer,-324,Posted,fixed_expenses,child_care
11/25/24,Target,TARGET DEBIT CRD ACH TRAN   ***********1047,Shopping,11.98,Posted,misc_expenses,clothing
11/25/24,Target,TARGET DEBIT CRD ACH TRAN   ***********1047,Shopping,-38.02,Posted,misc_expenses,clothing
11/21/24,Chase Credit Card,CHASE CREDIT CRD EPAY       ***********4024,Credit Card Payment,-1032.26,Posted,misc_expenses,chase_credit_card
11/20/24,Target,TARGET DEBIT CRD ACH TRAN   ***********0199,Shopping,-69.67,Posted,misc_expenses,clothing
11/18/24,Zelle Transfer to Amber Carroll,Zelle: Amber Carroll,Transfer,-333,Posted,fixed_expenses,child_care
11/15/24,Interest Paid,INTEREST PAID,Interest Income,0.03,Posted,income,miscellaneous
11/15/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-50,Posted,savings,savings
11/15/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-50,Posted,savings,savings
11/15/24,ICPayment,ICPAYMENT,Transfer,-814.04,Posted,fixed_expenses,transportation
11/15/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-1100,Posted,savings,savings
11/15/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-3200,Posted,fixed_expenses,housing_utilities
11/14/24,Dominion Energy,DOMINION ENERGY  BILLPAY    ***********7814,Bills & Utilities,-316.25,Posted,fixed_expenses,housing_utilities
11/13/24,Defense Finance and Accounting Service,DFAS-CLEVELAND   NAVY ACT   ***********1645,Paycheck,5423.19,Posted,income,jeff_pay
11/12/24,Target,TARGET DEBIT CRD ACH TRAN   ***********2770,Shopping,2.71,Posted,misc_expenses,miscellaneous
11/12/24,Target,TARGET DEBIT CRD ACH TRAN   ***********2770,Shopping,-41.41,Posted,misc_expenses,clothing
11/12/24,Zelle Transfer to Amber Carroll,Zelle: Amber Carroll,Transfer,-342,Posted,fixed_expenses,child_care
11/5/24,USAA Property and Casualty Insurance,USAA P&C         AUTOPAY    ***********3049,Financial,-193.14,Posted,fixed_expenses,insurance
11/5/24,Zelle Transfer to Amber Carroll,Zelle: Amber Carroll,Transfer,-324,Posted,fixed_expenses,child_care
11/4/24,Water Bill,USAA FUNDS TRANSFER DB,Transfer,-188.67,Posted,fixed_expenses,housing_utilities
11/1/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-50,Posted,savings,savings
11/1/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-50,Posted,savings,savings
11/1/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-1100,Posted,savings,savings
