Date,Description,Original Description,Category,Amount,Status,Transaction Type,Transaction Category,key,month
2025-01-16,Interest Paid,INTEREST PAID,Interest Income,0.03,Posted,income,NA,Interest Paid_0.03_1/16/25,2025-01
2025-01-16,Target,TARGET DEBIT CRD ACH TRAN   ***********1047,Shopping,-65.46,Posted,misc_expenses,NA,Target_-65.46_1/16/25,2025-01
2025-01-16,Target,TARGET DEBIT CRD ACH TRAN   ***********2770,Shopping,-121.03,Posted,misc_expenses,NA,Target_-121.03_1/16/25,2025-01
2025-01-16,Dominion Energy,DOMINION ENERGY  BILLPAY    ***********7814,Bills & Utilities,-123.68,Posted,fixed_expenses,NA,Dominion Energy_-123.68_1/16/25,2025-01
2025-01-15,Target,TARGET DEBIT CRD ACH TRAN   ***********1047,Shopping,-216.3,Posted,misc_expenses,NA,Target_-216.3_1/15/25,2025-01
2025-01-15,Zelle Transfer to Amber Carroll,Zelle: Amber Carroll,Transfer,-342,Posted,fixed_expenses,NA,Zelle Transfer to Amber Carroll_-342_1/15/25,2025-01
2025-01-15,ICPayment,ICPAYMENT,Transfer,-814.04,Posted,fixed_expenses,NA,ICPayment_-814.04_1/15/25,2025-01
2025-01-15,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-3200,Posted,fixed_expenses,NA,USAA Transfer_-3200_1/15/25,2025-01
2025-01-13,Defense Finance and Accounting Service,DFAS-CLEVELAND   NAVY ACT   ***********1645,Paycheck,5710.8,Posted,income,NA,Defense Finance and Accounting Service_5710.8_1/13/25,2025-01
2025-01-13,Nordstrom,NORDSTROM        TRANS      ***********9965,Shopping,26.46,Posted,misc_expenses,NA,Nordstrom_26.46_1/13/25,2025-01
2025-01-10,Zelle Transfer to Amber Carroll,Zelle: Amber Carroll,Transfer,-117,Posted,fixed_expenses,NA,Zelle Transfer to Amber Carroll_-117_1/10/25,2025-01
2025-01-09,Target,TARGET DEBIT CRD ACH TRAN   ***********1047,Shopping,-7.04,Posted,misc_expenses,NA,Target_-7.04_1/9/25,2025-01
2025-01-09,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-215.91,Posted,fixed_expenses,NA,USAA Transfer_-215.91_1/9/25,2025-01
