Date,Description,Original Description,Category,Amount,Status,Transaction Type,Transaction Category
1/15/25,USAA Transfer,USAA FUNDS TRANSFER CR,Transfer,1100,Posted,savings,
1/9/25,Mobile Deposit,DEPOSIT@MOBILE,Income,507,Posted,savings,
1/7/25,Vanguard,VANGUARD BUY     INVESTMENT ***********3619,Buy,-500,Posted,investment,
1/3/25,Department of Education,DEPT EDUCATION   STUDENT LN ***********0000,Student Loan,-114.45,Posted,fixed_expenses,
1/2/25,USAA Transfer,USAA FUNDS TRANSFER CR,Transfer,1100,Posted,savings,
12/31/24,Interest Paid,INTEREST PAID,Interest Income,0.33,Posted,savings,
12/30/24,USAA Credit Card,USAA CREDIT CARD PAYMENT,Credit Card Payment,-5566.4,Posted,misc_expenses,
12/24/24,Vanguard,VANGUARD BUY     INVESTMENT ***********3619,Buy,-500,Posted,investment,
12/23/24,Adp Workmarket Direct Deposit,ADP WORKMARKET   DIRECT DEP ***********4186,Paycheck,4345,Posted,income,
12/16/24,USAA Transfer,USAA FUNDS TRANSFER CR,Transfer,1100,Posted,savings,
12/10/24,Vanguard,VANGUARD BUY     INVESTMENT ***********3619,Buy,-500,Posted,investment,
12/3/24,Department of Education,DEPT EDUCATION   STUDENT LN ***********0000,Student Loan,-223.93,Posted,fixed_expenses,
12/2/24,USAA Transfer,USAA FUNDS TRANSFER CR,Transfer,1100,Posted,savings,
11/29/24,Adp Workmarket Direct Deposit,ADP WORKMARKET   DIRECT DEP ***********3755,Paycheck,4565,Posted,income,elaina_pay
11/29/24,Interest Paid,INTEREST PAID,Interest Income,0.27,Posted,income,miscellaneous
11/26/24,Vanguard,VANGUARD BUY     INVESTMENT ***********3619,Buy,-500,Posted,investment,investment
11/18/24,Transfer to Venmo,VENMO            PAYMENT    ***********0384,Transfer,-5,Posted,misc_expenses,miscellaneous
11/15/24,USAA Transfer,USAA FUNDS TRANSFER CR,Transfer,1100,Posted,savings,savings
11/12/24,Mobile Deposit,DEPOSIT@MOBILE,Income,50,Posted,savings,savings
11/12/24,Vanguard,VANGUARD BUY     INVESTMENT ***********3619,Buy,-500,Posted,investment,investment
11/5/24,Department of Education,DEPT EDUCATION   STUDENT LN ***********0000,Student Loan,-243.42,Posted,fixed_expenses,education
11/4/24,USAA Credit Card,USAA CREDIT CARD PAYMENT,Credit Card Payment,-5508.45,Posted,misc_expenses,usaa_credit_card
11/1/24,USAA Transfer,USAA FUNDS TRANSFER CR,Transfer,1100,Posted,savings,savings
10/31/24,Interest Paid,INTEREST PAID,Interest Income,0.29,Posted,income,miscellaneous
10/30/24,Adp Workmarket Direct Deposit,ADP WORKMARKET   DIRECT DEP ***********1305,Paycheck,4180,Posted,income,elaina_pay
10/29/24,Vanguard,VANGUARD BUY     INVESTMENT ***********3619,Buy,-500,Posted,investment,investment
10/28/24,Transfer to Venmo,VENMO            PAYMENT    ***********2276,Transfer,-2,Posted,misc_expenses,miscellaneous
10/24/24,Transfer from Venmo,VENMO            CASHOUT    ***********2849,Transfer,457,Posted,savings,miscellaneous
10/24/24,Transfer to Venmo,VENMO            ADDFUNDS   ***********1728,Transfer,-25,Posted,savings,miscellaneous
10/24/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-1000,Posted,savings,savings
10/15/24,USAA Transfer,USAA FUNDS TRANSFER CR,Transfer,1100,Posted,savings,savings
10/15/24,Mobile Deposit,DEPOSIT@MOBILE,Income,50,Posted,savings,miscellaneous
10/15/24,Vanguard,VANGUARD BUY     INVESTMENT ***********3619,Buy,-500,Posted,investment,investment
10/3/24,Department of Education,DEPT EDUCATION   STUDENT LN ***********0000,Student Loan,-243.42,Posted,fixed_expenses,education
10/1/24,USAA Transfer,USAA FUNDS TRANSFER CR,Transfer,1100,Posted,savings,savings
10/1/24,Vanguard,VANGUARD BUY     INVESTMENT ***********3619,Buy,-500,Posted,investment,investment
9/30/24,Adp Workmarket Direct Deposit,ADP WORKMARKET   DIRECT DEP ***********0564,Paycheck,3355,Posted,income,elaina_pay
9/30/24,Interest Paid,INTEREST PAID,Interest Income,0.26,Posted,income,miscellaneous
9/30/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-2000,Posted,savings,savings
9/17/24,Vanguard,VANGUARD BUY     INVESTMENT ***********3619,Buy,-500,Posted,investment,investment
9/16/24,USAA FUNDS TRANSFER CR,USAA FUNDS TRANSFER CR,Category Pending,1100,Posted,savings,savings
9/10/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-2500,Posted,savings,savings
