Date,Description,Original Description,Category,Amount,Status,Transaction Type,Transaction Category
11/29/24,7-ELEVEN 26611           VIRGINIA BEACVA,7-ELEVEN 26611           VIRGINIA BEACVA,Category Pending,-3.32,Posted,misc_expenses,restaraunts
11/29/24,Apple,APPLE.COM/BILL           866-712-7753 CA,Electronics & Software,-9.99,Posted,fixed_expenses,subscriptions
11/29/24,Trex Playland,TREX Playland LLC        Norfolk      VA,Entertainment,-112.5,Posted,misc_expenses,entertainment
11/29/24,HILTON ADVPURCH8002367113MEMPHIS      TN,HILTON ADVPURCH8002367113MEMPHIS      TN,Category Pending,-135.54,Posted,misc_expenses,travel
11/29/24,HILTON ADVPURCH8002367113MEMPHIS      TN,HILTON ADVPURCH8002367113MEMPHIS      TN,Category Pending,-140.26,Posted,misc_expenses,travel
11/28/24,Hulu,HLU*HULUPLUS             hulu.com/billCA,Television,-23.64,Posted,fixed_expenses,subscriptions
11/28/24,Gloss Lauren Httpslaurentava,GLOSS* LAUREN  TAYLOR@   HTTPSLAURENTAVA,Spa & Massage,-30.75,Posted,misc_expenses,personal_care
11/27/24,REI,REI #166 VIRGINIA BEAC   VIRGINIABEACHVA,Sporting Goods,135.68,Posted,misc_expenses,clothing
11/27/24,Kohls Virginia Beacva,KOHLS #0650              VIRGINIA BEACVA,Shopping,12.71,Posted,misc_expenses,clothing
11/27/24,Kroger,KROGER #532              VIRGINIA BEACVA,Groceries,-16.13,Posted,fixed_expenses,groceries
11/27/24,Navy Exchange,NEX FUEL 050039          VIRGINIA BEACVA,Gas,-28.1,Posted,fixed_expenses,transportation
11/27/24,Little Creek Comm Virginia Beacva,LITTLE CREEK COMM        VIRGINIA BEACVA,Groceries,-55.86,Posted,fixed_expenses,groceries
11/26/24,H&M,H&M 0081VIRGINIA BEACH   VIRGINIA BEACVA,Clothing,74.18,Posted,misc_expenses,clothing
11/26/24,Taste Bayville Far,TST*TASTE - BAYVILLE FAR 757-464-1566 VA,Restaurants,-25.6,Posted,misc_expenses,restaraunts
11/25/24,American Eagle,American Eagle 776       Virginia BeacVA,Clothing,0.01,Posted,misc_expenses,clothing
11/25/24,Chick-fil-A,CHICK-FIL-A #00734       757-318-7641 VA,Fast Food,-3.78,Posted,misc_expenses,restaraunts
11/25/24,Apple,APPLE.COM/BILL           866-712-7753 CA,Electronics & Software,-10.74,Posted,misc_expenses,miscellaneous
11/25/24,Chick-fil-A,CHICK-FIL-A #00734       757-318-7641 VA,Fast Food,-14.14,Posted,misc_expenses,restaraunts
11/25/24,Old Navy,OLD NAVY US 3983         VIRGINIA BEACVA,Clothing,-14.76,Posted,misc_expenses,clothing
11/25/24,North End Pizza and Ice Cvirginia Beacva,NORTH END PIZZA AND ICE CVIRGINIA BEACVA,Food & Dining,-15.13,Posted,misc_expenses,restaraunts
11/25/24,Kohls Virginia Beacva,KOHLS #0650              VIRGINIA BEACVA,Shopping,-31.73,Posted,misc_expenses,clothing
11/25/24,Town Center Virginia Beacva,TOWN CENTER CSG          VIRGINIA BEACVA,Doctor,-38,Posted,fixed_expenses,healthcare
11/25/24,Target,TARGET        00027706   VIRGINIA BEACVA,Shopping,-57.22,Posted,misc_expenses,clothing
11/24/24,AT&T,ATT* BILL PAYMENT        800-331-0500 TX,Bills & Utilities,-285.55,Posted,fixed_expenses,internet_cellular
11/22/24,Food Lion,FOOD LION #0391          VIRGINIABEACHVA,Groceries,-12.29,Posted,fixed_expenses,groceries
11/22/24,Shorebreak Pizza Online,SHOREBREAK PIZZA (ONLINE 757-4819393  VA,Food & Dining,-14.02,Posted,misc_expenses,restaraunts
11/22/24,Chick-fil-A,CHICK-FIL-A #01081       757-437-8928 VA,Fast Food,-27.98,Posted,misc_expenses,restaraunts
11/22/24,Hairbyraquel,SQ *HAIRBYRAQUEL         VIRGINIA BCH VA,Hair,-51.75,Posted,misc_expenses,personal_care
11/22/24,Little Creek Comm Virginia Beacva,LITTLE CREEK COMM        VIRGINIA BEACVA,Groceries,-77.47,Posted,fixed_expenses,groceries
11/22/24,Care a Lot Va Beach Data Virginia Beacva,CARE A LOT VA BEACH DATA VIRGINIA BEACVA,Pet Food & Supplies,-84.46,Posted,misc_expenses,pet
11/22/24,Sam's Club,SAMSCLUB.COM             888-746-7726 AR,Shopping,-151.08,Posted,fixed_expenses,groceries
11/22/24,Beach,IFLY VA BEACH            757-7544359  VA,Entertainment,-217.52,Posted,misc_expenses,entertainment
11/21/24,Navy Exchange,NAVY EXCHANGE 050180 VIRGINIA BEA CREDIT,Shopping,119.99,Posted,misc_expenses,clothing
11/20/24,Naval Special Warfarevirginia Beacva,SQ *NAVAL SPECIAL WARFAREVirginia BeacVA,Business Services,-8,Posted,misc_expenses,restaraunts
11/19/24,Amazon,AMAZON MKTPL*SO6NX9X23   Amzn.com/billWA,Shopping,-42.38,Posted,misc_expenses,miscellaneous
11/18/24,Pie O Neer Pizza Virginia Beac,TST*PIE-O-NEER PIZZA     Virginia BeacVA,Food & Dining,-9.92,Posted,misc_expenses,restaraunts
